YEAR,Car_Age,MILEAGE,CAR_PRICE
2019,4,24240 ,39500
2018,5,28841,38900
2020,3,16021,49942
2015,8,142965,38500
2014,9,70518,657
2021,2,38117,50828
2017,6,37956,48602
2022,1,9276,57600
2023,0,70,112000
2016,7,78569,44777
2013,10,70000,15000
2012,11,103000,27500
